date,day_of_week,calls_received,avg_wait_time_min,branch_foot_traffic,csat_score,social_engagement
2025-05-11,Sunday,197,3.61,114,81.3,102
2025-05-12,Monday,540,4.31,421,83.0,77
2025-05-13,Tuesday,506,3.97,303,81.9,69
2025-05-14,Wednesday,494,4.05,319,76.5,79
2025-05-15,Thursday,515,3.39,304,83.6,54
2025-05-16,Friday,549,3.89,455,85.8,70
2025-05-17,Saturday,271,2.95,155,86.7,45
2025-05-18,Sunday,177,2.99,101,87.2,53
2025-05-19,Monday,533,4.74,400,83.1,50
2025-05-20,Tuesday,511,4.33,288,84.8,40
2025-05-21,Wednesday,484,4.53,280,78.5,26
2025-05-22,Thursday,504,3.67,329,78.7,50
2025-05-23,Friday,568,4.35,435,83.4,35
2025-05-24,Saturday,278,3.47,169,83.4,35
2025-05-25,Sunday,170,2.38,82,88.6,38
2025-05-26,Monday,537,4.3,424,81.2,32
2025-05-27,Tuesday,521,3.84,319,79.3,50
2025-05-28,Wednesday,502,4.28,316,86.8,53
2025-05-29,Thursday,461,3.52,267,84.3,54
2025-05-30,Friday,551,4.41,419,80.8,44
2025-05-31,Saturday,242,2.77,131,88.5,52
2025-06-01,Sunday,198,3.36,122,82.5,71
2025-06-02,Monday,486,4.17,418,82.6,79
2025-06-03,Tuesday,462,4.03,304,81.6,89
2025-06-04,Wednesday,466,3.83,289,86.0,84
2025-06-05,Thursday,425,3.63,252,83.8,87
2025-06-06,Friday,522,3.71,413,85.4,88
2025-06-07,Saturday,257,3.69,161,83.7,72
2025-06-08,Sunday,159,3.11,99,82.0,76
2025-06-09,Monday,516,4.2,413,82.8,84
2025-06-10,Tuesday,493,3.94,297,82.2,78
2025-06-11,Wednesday,449,4.08,262,86.2,71
2025-06-12,Thursday,451,3.83,292,84.1,83
2025-06-13,Friday,492,4.25,397,82.9,79
2025-06-14,Saturday,229,3.83,172,82.7,62
2025-06-15,Sunday,178,3.72,99,82.8,58
2025-06-16,Monday,474,3.71,354,81.9,55
2025-06-17,Tuesday,481,4.72,273,84.1,48
2025-06-18,Wednesday,454,4.28,255,83.5,47
2025-06-19,Thursday,464,4.16,315,81.3,37
2025-06-20,Friday,509,3.97,387,86.2,50
2025-06-21,Saturday,228,2.93,144,84.2,41
2025-06-22,Sunday,155,2.41,116,91.2,30
2025-06-23,Monday,491,4.25,388,84.3,51
2025-06-24,Tuesday,474,3.76,264,81.9,36
2025-06-25,Wednesday,488,3.92,296,83.3,48
2025-06-26,Thursday,501,3.96,293,85.9,47
2025-06-27,Friday,554,4.58,427,83.4,54
2025-06-28,Saturday,253,3.55,168,87.1,61
2025-06-29,Sunday,164,2.98,100,88.5,48
2025-06-30,Monday,506,4.03,395,86.3,62
2025-07-01,Tuesday,435,3.41,272,86.1,83
2025-07-02,Wednesday,409,3.95,249,87.2,69
2025-07-03,Thursday,420,4.14,255,81.8,76
2025-07-04,Friday,494,3.73,387,82.0,88
2025-07-05,Saturday,190,2.91,120,89.5,81
2025-07-06,Sunday,128,3.68,55,78.4,87
2025-07-07,Monday,446,3.58,358,84.7,80
2025-07-08,Tuesday,412,4.22,257,82.5,100
2025-07-09,Wednesday,396,3.21,227,84.8,86
2025-07-10,Thursday,411,4.01,228,86.8,81
2025-07-11,Friday,495,4.29,393,84.0,82
2025-07-12,Saturday,229,3.8,140,85.4,74
2025-07-13,Sunday,164,2.78,126,85.8,59
2025-07-14,Monday,458,3.75,370,82.1,62
2025-07-15,Tuesday,402,3.66,205,80.0,66
2025-07-16,Wednesday,430,4.1,244,82.9,55
2025-07-17,Thursday,395,4.42,250,81.7,50
2025-07-18,Friday,479,3.28,370,83.1,37
2025-07-19,Saturday,213,3.93,137,81.9,46
2025-07-20,Sunday,164,3.42,99,82.9,44
2025-07-21,Monday,463,4.4,371,84.9,32
2025-07-22,Tuesday,460,4.11,307,81.2,49
2025-07-23,Wednesday,420,3.64,245,83.2,39
2025-07-24,Thursday,426,3.69,255,89.2,50
2025-07-25,Friday,484,4.13,379,84.5,30
2025-07-26,Saturday,214,2.54,134,88.0,38
2025-07-27,Sunday,167,2.57,78,86.9,54
2025-07-28,Monday,487,3.94,396,83.2,48
2025-07-29,Tuesday,453,4.27,248,86.3,66
2025-07-30,Wednesday,406,4.01,251,83.8,56
2025-07-31,Thursday,405,3.84,261,84.9,62
2025-08-01,Friday,456,2.88,373,81.3,67
2025-08-02,Saturday,183,2.59,127,85.1,77
2025-08-03,Sunday,128,3.12,78,81.9,87
2025-08-04,Monday,415,3.26,317,88.6,88
2025-08-05,Tuesday,399,3.69,235,89.1,87
2025-08-06,Wednesday,395,4.23,241,82.0,83
2025-08-07,Thursday,386,3.77,243,83.8,91
2025-08-08,Friday,441,4.0,314,85.5,87
2025-08-09,Saturday,221,2.08,164,87.1,91
2025-08-10,Sunday,110,3.11,50,83.6,94
2025-08-11,Monday,421,3.99,341,84.5,76
2025-08-12,Tuesday,413,4.84,247,81.9,79
2025-08-13,Wednesday,408,4.33,254,79.6,78
2025-08-14,Thursday,367,3.84,209,83.4,63
2025-08-15,Friday,449,4.17,374,84.0,53
2025-08-16,Saturday,221,3.71,114,85.3,55
2025-08-17,Sunday,124,3.46,72,84.7,44
2025-08-18,Monday,425,3.48,310,88.3,35
2025-08-19,Tuesday,389,2.93,224,82.2,51
2025-08-20,Wednesday,406,3.58,278,86.6,34
2025-08-21,Thursday,343,4.56,185,77.9,43
2025-08-22,Friday,488,4.68,389,83.2,42
2025-08-23,Saturday,217,3.34,132,84.5,30
2025-08-24,Sunday,124,2.24,73,84.6,30
2025-08-25,Monday,429,4.49,348,78.2,34
2025-08-26,Tuesday,424,3.52,251,85.6,38
2025-08-27,Wednesday,391,3.27,225,85.6,37
2025-08-28,Thursday,397,3.81,246,84.2,66
2025-08-29,Friday,447,3.82,350,85.0,60
2025-08-30,Saturday,204,2.9,113,82.1,79
2025-08-31,Sunday,107,2.58,54,88.6,68
2025-09-01,Monday,436,3.69,345,81.8,92
2025-09-02,Tuesday,375,3.87,234,84.5,77
2025-09-03,Wednesday,376,3.77,223,86.1,99
2025-09-04,Thursday,368,3.18,220,91.5,77
2025-09-05,Friday,462,4.71,352,83.1,98
2025-09-06,Saturday,191,3.06,106,82.7,80
2025-09-07,Sunday,104,2.86,51,86.3,71
2025-09-08,Monday,420,4.23,298,83.6,91
2025-09-09,Tuesday,375,4.42,231,80.5,78
2025-09-10,Wednesday,389,3.83,241,81.3,76
2025-09-11,Thursday,353,3.63,198,82.2,80
2025-09-12,Friday,452,4.25,336,81.9,75
2025-09-13,Saturday,201,4.1,126,83.5,58
2025-09-14,Sunday,129,2.87,88,88.1,49
2025-09-15,Monday,391,3.07,313,82.5,33
2025-09-16,Tuesday,404,4.84,242,83.4,46
2025-09-17,Wednesday,377,4.12,222,83.6,44
2025-09-18,Thursday,367,4.12,218,81.0,43
2025-09-19,Friday,417,3.9,325,86.1,40
2025-09-20,Saturday,198,3.49,140,85.7,35
2025-09-21,Sunday,103,2.42,57,85.2,34
2025-09-22,Monday,416,4.1,324,84.2,37
2025-09-23,Tuesday,362,3.33,215,81.6,43
2025-09-24,Wednesday,407,4.34,241,86.2,43
2025-09-25,Thursday,373,3.5,220,83.3,47
2025-09-26,Friday,437,3.96,347,86.3,57
2025-09-27,Saturday,172,2.05,117,84.1,53
2025-09-28,Sunday,106,2.13,71,89.2,55
2025-09-29,Monday,369,3.51,294,80.6,67
2025-09-30,Tuesday,398,4.06,240,80.6,80
2025-10-01,Wednesday,388,3.78,219,82.6,68
2025-10-02,Thursday,388,4.48,212,78.1,90
2025-10-03,Friday,443,3.71,361,82.3,96
2025-10-04,Saturday,217,3.03,163,83.8,90
2025-10-05,Sunday,136,3.47,105,84.4,79
2025-10-06,Monday,437,3.69,371,84.2,82
2025-10-07,Tuesday,413,3.34,233,87.7,79
2025-10-08,Wednesday,373,3.96,241,85.1,90
2025-10-09,Thursday,378,3.19,249,84.2,77
2025-10-10,Friday,472,4.29,375,88.0,70
2025-10-11,Saturday,222,3.26,137,88.6,74
2025-10-12,Sunday,140,3.4,79,82.4,57
2025-10-13,Monday,394,4.64,291,81.2,58
2025-10-14,Tuesday,416,4.21,263,81.3,53
2025-10-15,Wednesday,397,3.72,262,85.0,56
2025-10-16,Thursday,404,4.32,245,79.3,49
2025-10-17,Friday,436,3.74,349,86.9,42
2025-10-18,Saturday,211,3.88,130,90.0,43
2025-10-19,Sunday,99,3.13,65,88.3,42
2025-10-20,Monday,427,3.43,330,82.3,30
2025-10-21,Tuesday,422,4.57,259,78.9,39
2025-10-22,Wednesday,414,3.64,246,84.0,30
2025-10-23,Thursday,404,3.8,249,81.4,35
2025-10-24,Friday,462,3.89,386,82.4,43
2025-10-25,Saturday,223,2.67,107,82.3,55
2025-10-26,Sunday,121,3.93,64,83.8,62
2025-10-27,Monday,466,4.88,382,83.8,60
2025-10-28,Tuesday,426,3.7,243,83.9,59
2025-10-29,Wednesday,385,4.06,245,83.3,77
2025-10-30,Thursday,373,3.66,213,79.3,70
2025-10-31,Friday,447,4.6,358,79.3,90
2025-11-01,Saturday,244,3.55,143,81.8,76
2025-11-02,Sunday,161,3.79,120,82.4,73
2025-11-03,Monday,467,3.35,369,84.3,80
2025-11-04,Tuesday,416,4.09,241,80.1,62
2025-11-05,Wednesday,424,4.62,279,80.7,80
2025-11-06,Thursday,433,3.54,264,86.1,94
2025-11-07,Friday,483,4.03,364,81.1,80
2025-11-08,Saturday,229,3.63,125,87.7,76
2025-11-09,Sunday,141,2.67,48,88.3,81
2025-11-10,Monday,460,4.06,366,79.2,66
2025-11-11,Tuesday,459,3.53,280,80.8,69
2025-11-12,Wednesday,424,3.27,272,83.0,54
2025-11-13,Thursday,428,4.39,242,82.5,58
2025-11-14,Friday,498,4.23,383,80.6,51
2025-11-15,Saturday,203,2.01,129,89.8,26
2025-11-16,Sunday,123,3.16,105,85.1,36
2025-11-17,Monday,462,4.59,351,79.9,34
2025-11-18,Tuesday,428,3.98,281,84.1,34
2025-11-19,Wednesday,420,3.27,265,84.6,34
2025-11-20,Thursday,483,4.23,278,81.6,44
2025-11-21,Friday,488,3.55,395,82.5,51
2025-11-22,Saturday,242,3.13,165,85.3,45
2025-11-23,Sunday,151,2.66,81,88.7,39
2025-11-24,Monday,459,3.65,364,89.1,37
2025-11-25,Tuesday,446,4.55,267,83.1,41
2025-11-26,Wednesday,433,3.87,275,86.5,76
2025-11-27,Thursday,436,4.08,265,82.1,63
2025-11-28,Friday,481,4.17,395,80.3,74
2025-11-29,Saturday,247,3.28,116,83.3,81
2025-11-30,Sunday,142,2.57,77,88.4,79
2025-12-01,Monday,509,4.05,391,80.8,92
2025-12-02,Tuesday,485,4.6,314,84.4,78
2025-12-03,Wednesday,476,4.08,272,83.8,74
2025-12-04,Thursday,490,3.95,297,84.0,83
2025-12-05,Friday,546,4.13,439,79.5,86
2025-12-06,Saturday,280,3.03,158,86.6,85
2025-12-07,Sunday,163,3.24,107,87.7,85
2025-12-08,Monday,509,4.47,426,81.8,71
2025-12-09,Tuesday,511,4.16,274,85.0,70
2025-12-10,Wednesday,467,4.19,283,84.6,67
2025-12-11,Thursday,478,3.99,298,84.8,58
2025-12-12,Friday,556,4.14,446,83.8,75
2025-12-13,Saturday,242,3.17,145,84.3,61
2025-12-14,Sunday,127,2.5,60,88.9,64
2025-12-15,Monday,512,4.14,401,85.8,38
2025-12-16,Tuesday,496,4.54,305,82.5,49
2025-12-17,Wednesday,421,4.17,243,78.2,42
2025-12-18,Thursday,494,4.09,311,87.0,47
2025-12-19,Friday,566,4.68,443,77.7,33
2025-12-20,Saturday,231,4.14,136,83.2,40
2025-12-21,Sunday,157,3.7,85,84.3,30
2025-12-22,Monday,491,3.89,382,82.4,33
2025-12-23,Tuesday,467,4.02,258,85.0,42
2025-12-24,Wednesday,444,3.86,255,84.3,56
2025-12-25,Thursday,436,4.0,259,84.9,52
2025-12-26,Friday,524,4.12,397,85.6,55
2025-12-27,Saturday,281,3.41,158,80.7,46
2025-12-28,Sunday,128,3.03,85,81.4,72
2025-12-29,Monday,507,4.25,419,84.9,68
2025-12-30,Tuesday,477,3.23,275,84.4,67
2025-12-31,Wednesday,468,4.09,278,81.4,80
2026-01-01,Thursday,521,3.8,334,83.4,82
2026-01-02,Friday,599,4.59,482,82.6,79
2026-01-03,Saturday,275,2.96,167,85.4,83
2026-01-04,Sunday,169,2.31,93,87.2,86
2026-01-05,Monday,544,4.82,411,83.8,87
2026-01-06,Tuesday,526,4.96,298,83.4,90
2026-01-07,Wednesday,502,4.73,297,82.3,81
2026-01-08,Thursday,511,4.53,319,77.7,85
2026-01-09,Friday,557,4.77,452,78.8,67
2026-01-10,Saturday,249,3.25,145,86.8,76
2026-01-11,Sunday,196,2.93,115,81.3,54
2026-01-12,Monday,580,5.08,434,79.3,55
2026-01-13,Tuesday,544,3.99,333,82.0,50
2026-01-14,Wednesday,524,4.25,308,82.4,45
2026-01-15,Thursday,508,4.09,329,84.4,39
2026-01-16,Friday,601,4.37,486,83.3,37
2026-01-17,Saturday,278,2.8,150,82.9,37
2026-01-18,Sunday,203,4.07,131,84.3,21
2026-01-19,Monday,554,4.03,423,82.7,31
2026-01-20,Tuesday,504,4.48,286,82.7,53
2026-01-21,Wednesday,498,3.15,295,87.8,54
2026-01-22,Thursday,493,4.34,289,82.2,63
2026-01-23,Friday,562,4.47,445,84.9,46
2026-01-24,Saturday,275,3.26,169,84.0,55
2026-01-25,Sunday,165,3.2,99,87.8,54
2026-01-26,Monday,533,4.78,402,79.8,55
2026-01-27,Tuesday,565,3.53,386,86.9,67
2026-01-28,Wednesday,515,4.33,317,84.1,75
2026-01-29,Thursday,517,4.15,308,82.4,84
2026-01-30,Friday,600,3.32,478,85.2,78
2026-01-31,Saturday,263,3.83,172,81.6,85
2026-02-01,Sunday,165,2.5,90,88.7,91
2026-02-02,Monday,609,4.82,482,79.8,88
2026-02-03,Tuesday,588,4.76,371,83.3,88
2026-02-04,Wednesday,567,4.38,327,82.0,78
2026-02-05,Thursday,535,4.23,309,81.9,67
2026-02-06,Friday,630,4.6,479,83.5,86
2026-02-07,Saturday,258,3.05,143,82.9,81
2026-02-08,Sunday,179,2.99,77,87.0,60
2026-02-09,Monday,601,4.61,489,78.6,41
2026-02-10,Tuesday,577,5.14,365,81.2,56
2026-02-11,Wednesday,563,3.99,345,84.5,63
2026-02-12,Thursday,598,4.65,351,81.7,36
2026-02-13,Friday,614,4.38,471,82.7,39
2026-02-14,Saturday,307,3.52,184,83.4,43
2026-02-15,Sunday,198,2.81,109,85.1,28
2026-02-16,Monday,586,4.26,470,83.3,38
2026-02-17,Tuesday,590,4.41,360,82.0,37
2026-02-18,Wednesday,538,3.32,321,88.3,43
2026-02-19,Thursday,566,4.88,341,81.8,31
2026-02-20,Friday,622,4.82,503,81.1,35
2026-02-21,Saturday,288,3.7,151,78.1,37
2026-02-22,Sunday,161,2.83,94,84.6,57
2026-02-23,Monday,607,4.64,483,78.9,58
2026-02-24,Tuesday,574,4.68,328,77.8,61
2026-02-25,Wednesday,556,3.99,321,86.0,50
2026-02-26,Thursday,579,4.07,357,82.2,70
2026-02-27,Friday,618,4.5,483,79.6,76
2026-02-28,Saturday,279,3.34,152,78.3,73
2026-03-01,Sunday,231,3.58,138,83.5,79
2026-03-02,Monday,625,4.11,504,84.7,87
2026-03-03,Tuesday,596,4.49,368,83.6,81
2026-03-04,Wednesday,551,4.38,354,79.3,73
2026-03-05,Thursday,565,4.4,341,82.9,83
2026-03-06,Friday,669,4.09,509,82.7,71
2026-03-07,Saturday,291,4.13,175,83.5,72
2026-03-08,Sunday,176,2.94,101,88.7,83
2026-03-09,Monday,596,4.58,472,84.8,87
2026-03-10,Tuesday,571,4.08,323,82.4,74
2026-03-11,Wednesday,580,4.4,343,82.7,59
2026-03-12,Thursday,600,3.86,363,88.6,60
2026-03-13,Friday,639,4.49,496,85.6,37
2026-03-14,Saturday,322,3.0,189,84.3,55
2026-03-15,Sunday,159,3.21,126,81.5,47
2026-03-16,Monday,604,4.68,472,80.1,45
2026-03-17,Tuesday,622,4.5,384,78.9,31
2026-03-18,Wednesday,571,5.0,348,80.2,36
2026-03-19,Thursday,540,4.54,338,80.9,31
2026-03-20,Friday,648,4.49,505,87.4,33
2026-03-21,Saturday,289,3.2,184,84.5,31
2026-03-22,Sunday,212,3.77,118,79.0,46
2026-03-23,Monday,605,4.83,442,83.6,32
2026-03-24,Tuesday,603,4.52,348,81.0,51
2026-03-25,Wednesday,565,4.62,369,77.9,63
2026-03-26,Thursday,566,4.03,319,82.7,62
2026-03-27,Friday,642,5.24,479,80.4,50
2026-03-28,Saturday,302,3.86,175,77.0,67
2026-03-29,Sunday,196,3.31,136,82.0,76
2026-03-30,Monday,639,3.92,503,82.1,74
2026-03-31,Tuesday,597,4.3,348,82.6,70
2026-04-01,Wednesday,533,4.55,303,83.7,85
2026-04-02,Thursday,522,3.97,331,80.8,80
2026-04-03,Friday,640,4.95,496,79.6,96
2026-04-04,Saturday,321,3.96,194,81.3,78
2026-04-05,Sunday,194,3.31,137,86.3,72
2026-04-06,Monday,625,4.18,482,83.4,98
2026-04-07,Tuesday,636,4.86,379,82.6,86
2026-04-08,Wednesday,548,5.04,332,82.1,80
2026-04-09,Thursday,561,4.71,327,80.3,61
2026-04-10,Friday,641,4.95,506,85.3,65
2026-04-11,Saturday,302,3.07,175,87.0,67
2026-04-12,Sunday,179,3.07,85,84.4,62
2026-04-13,Monday,617,4.76,482,81.6,45
2026-04-14,Tuesday,593,4.64,363,80.5,28
2026-04-15,Wednesday,574,4.22,331,84.4,38
2026-04-16,Thursday,573,4.66,354,78.3,48
2026-04-17,Friday,638,4.48,500,77.7,39
2026-04-18,Saturday,272,2.86,140,88.5,30
2026-04-19,Sunday,212,2.99,102,82.6,45
2026-04-20,Monday,604,4.3,474,83.8,45
2026-04-21,Tuesday,607,4.38,344,81.3,40
2026-04-22,Wednesday,537,3.91,328,83.3,42
2026-04-23,Thursday,541,4.21,311,85.0,54
2026-04-24,Friday,601,4.13,446,81.3,49
2026-04-25,Saturday,265,3.01,144,85.9,55
2026-04-26,Sunday,172,3.14,95,84.4,73
2026-04-27,Monday,632,4.09,506,85.0,56
2026-04-28,Tuesday,596,5.1,341,78.5,78
2026-04-29,Wednesday,560,4.59,341,82.9,64
2026-04-30,Thursday,574,4.88,341,81.2,66
2026-05-01,Friday,608,4.76,473,84.3,79
2026-05-02,Saturday,285,3.04,170,84.9,86
2026-05-03,Sunday,168,3.01,113,84.3,72
2026-05-04,Monday,606,5.07,453,82.6,81
2026-05-05,Tuesday,554,4.46,329,80.2,78
2026-05-06,Wednesday,508,3.86,304,81.7,87
2026-05-07,Thursday,551,4.11,334,84.2,82
2026-05-08,Friday,601,4.8,476,78.3,82
2026-05-09,Saturday,291,3.16,175,86.7,68
2026-05-10,Sunday,194,4.09,105,79.5,68
2026-05-11,Monday,588,4.37,480,79.0,66
2026-05-12,Tuesday,539,4.98,353,79.1,50
2026-05-13,Wednesday,540,4.15,324,82.9,34
2026-05-14,Thursday,525,3.97,307,86.9,35
2026-05-15,Friday,615,4.44,475,84.2,44
2026-05-16,Saturday,285,3.84,166,82.0,30
2026-05-17,Sunday,160,4.21,115,79.4,26
2026-05-18,Monday,584,4.67,464,81.1,34
2026-05-19,Tuesday,556,4.39,301,81.8,28
2026-05-20,Wednesday,529,5.46,323,79.2,44
2026-05-21,Thursday,534,4.45,330,87.4,29
2026-05-22,Friday,609,4.16,484,80.5,38
2026-05-23,Saturday,270,3.79,176,80.5,46
2026-05-24,Sunday,163,2.54,94,85.6,69
2026-05-25,Monday,584,3.9,447,86.0,72
2026-05-26,Tuesday,523,3.49,342,85.3,53
2026-05-27,Wednesday,536,3.23,322,85.7,73
2026-05-28,Thursday,508,4.23,291,83.3,63
2026-05-29,Friday,594,4.08,473,85.2,73
2026-05-30,Saturday,276,2.84,161,85.6,100
2026-05-31,Sunday,155,3.6,108,84.8,96
2026-06-01,Monday,536,4.44,417,85.3,93
2026-06-02,Tuesday,495,3.62,294,82.0,84
2026-06-03,Wednesday,506,4.0,303,83.3,92
2026-06-04,Thursday,443,3.73,269,86.8,80
2026-06-05,Friday,519,4.48,395,79.2,77
2026-06-06,Saturday,250,3.09,117,87.4,89
2026-06-07,Sunday,173,2.62,101,86.2,79
2026-06-08,Monday,542,4.01,424,84.3,82
2026-06-09,Tuesday,520,4.55,313,85.5,68
2026-06-10,Wednesday,468,4.62,291,80.7,56
2026-06-11,Thursday,489,4.32,297,83.3,68
2026-06-12,Friday,572,4.48,461,79.6,53
2026-06-13,Saturday,286,3.37,159,83.0,37
2026-06-14,Sunday,147,2.84,67,85.8,49
2026-06-15,Monday,514,4.82,409,84.0,33
2026-06-16,Tuesday,523,3.81,327,84.1,41
2026-06-17,Wednesday,463,3.69,287,81.5,39
2026-06-18,Thursday,460,4.37,257,83.8,40
2026-06-19,Friday,541,4.54,426,80.7,28
