lead_id,organization_demo_name,business_type,locality_lahore,platform,contact_date,message_sent_demo,response_status,is_simulated
11,Allama Iqbal Town Boutique #11,Boutique,Allama Iqbal Town,Instagram DM,2026-07-28,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Boutique #11 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
12,Model Town Electronics Store #12,Electronics Store,Model Town,Instagram DM,2026-07-29,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Model Town Electronics Store #12 in Model Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
13,Garden Town Print & Design Shop #13,Print & Design Shop,Garden Town,Email,2026-07-31,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Garden Town Print & Design Shop #13 in Garden Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
14,Askari 10 Auto Workshop #14,Auto Workshop,Askari 10,Instagram DM,2026-07-31,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Askari 10 Auto Workshop #14 in Askari 10 could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
15,Model Town Print & Design Shop #15,Print & Design Shop,Model Town,Email,2026-07-31,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Model Town Print & Design Shop #15 in Model Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
16,Township Tuition Academy #16,Tuition Academy,Township,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Township Tuition Academy #16 in Township could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
17,Valencia Mobile Accessories Store #17,Mobile Accessories Store,Valencia,Email,2026-07-31,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Valencia Mobile Accessories Store #17 in Valencia could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
18,Iqbal Town Tuition Academy #18,Tuition Academy,Iqbal Town,Email,2026-07-31,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Iqbal Town Tuition Academy #18 in Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
19,Askari 10 Bakery #19,Bakery,Askari 10,Instagram DM,2026-07-29,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Askari 10 Bakery #19 in Askari 10 could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
20,Allama Iqbal Town Electronics Store #20,Electronics Store,Allama Iqbal Town,Instagram DM,2026-07-31,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Electronics Store #20 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
21,Iqbal Town Boutique #21,Boutique,Iqbal Town,LinkedIn DM,2026-07-31,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Iqbal Town Boutique #21 in Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
22,Iqbal Town Furniture Shop #22,Furniture Shop,Iqbal Town,LinkedIn DM,2026-07-31,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Iqbal Town Furniture Shop #22 in Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
23,Township Print & Design Shop #23,Print & Design Shop,Township,Email,2026-07-28,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Township Print & Design Shop #23 in Township could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
24,Wapda Town Mobile Accessories Store #24,Mobile Accessories Store,Wapda Town,LinkedIn DM,2026-07-31,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Wapda Town Mobile Accessories Store #24 in Wapda Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
25,Iqbal Town Pharmacy #25,Pharmacy,Iqbal Town,Instagram DM,2026-07-28,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Iqbal Town Pharmacy #25 in Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
26,Johar Town Print & Design Shop #26,Print & Design Shop,Johar Town,Email,2026-07-27,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Johar Town Print & Design Shop #26 in Johar Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
27,Faisal Town Fitness Studio #27,Fitness Studio,Faisal Town,LinkedIn DM,2026-07-27,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Faisal Town Fitness Studio #27 in Faisal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
28,Gulberg Tuition Academy #28,Tuition Academy,Gulberg,Instagram DM,2026-07-27,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Gulberg Tuition Academy #28 in Gulberg could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
29,Cavalry Ground Auto Workshop #29,Auto Workshop,Cavalry Ground,LinkedIn DM,2026-07-30,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Cavalry Ground Auto Workshop #29 in Cavalry Ground could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
30,Cavalry Ground Bakery #30,Bakery,Cavalry Ground,LinkedIn DM,2026-07-28,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Cavalry Ground Bakery #30 in Cavalry Ground could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
31,Valencia Bakery #31,Bakery,Valencia,Instagram DM,2026-07-29,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Valencia Bakery #31 in Valencia could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
32,Askari 10 Print & Design Shop #32,Print & Design Shop,Askari 10,Email,2026-07-28,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Askari 10 Print & Design Shop #32 in Askari 10 could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
33,Model Town Tailoring Shop #33,Tailoring Shop,Model Town,Instagram DM,2026-07-29,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Model Town Tailoring Shop #33 in Model Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
34,Johar Town Bakery #34,Bakery,Johar Town,Email,2026-07-27,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Johar Town Bakery #34 in Johar Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
35,Wapda Town Tailoring Shop #35,Tailoring Shop,Wapda Town,Instagram DM,2026-07-27,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Wapda Town Tailoring Shop #35 in Wapda Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
36,Allama Iqbal Town Auto Workshop #36,Auto Workshop,Allama Iqbal Town,Instagram DM,2026-07-27,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Auto Workshop #36 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
37,Valencia Print & Design Shop #37,Print & Design Shop,Valencia,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Valencia Print & Design Shop #37 in Valencia could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
38,Johar Town Tuition Academy #38,Tuition Academy,Johar Town,Email,2026-07-30,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Johar Town Tuition Academy #38 in Johar Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
39,Faisal Town Salon #39,Salon,Faisal Town,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Faisal Town Salon #39 in Faisal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
40,Bahria Town Print & Design Shop #40,Print & Design Shop,Bahria Town,Instagram DM,2026-07-30,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Bahria Town Print & Design Shop #40 in Bahria Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
41,Askari 10 Print & Design Shop #41,Print & Design Shop,Askari 10,Email,2026-07-28,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Askari 10 Print & Design Shop #41 in Askari 10 could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
42,Allama Iqbal Town Mobile Accessories Store #42,Mobile Accessories Store,Allama Iqbal Town,LinkedIn DM,2026-07-27,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Mobile Accessories Store #42 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
43,Wapda Town Furniture Shop #43,Furniture Shop,Wapda Town,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Wapda Town Furniture Shop #43 in Wapda Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Asked for more info,True
44,Bahria Town Pharmacy #44,Pharmacy,Bahria Town,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Zainab and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Bahria Town Pharmacy #44 in Bahria Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
45,Township Auto Workshop #45,Auto Workshop,Township,Instagram DM,2026-07-27,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Township Auto Workshop #45 in Township could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Asked for more info,True
46,Township Tailoring Shop #46,Tailoring Shop,Township,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Ayesha and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Township Tailoring Shop #46 in Township could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
47,Allama Iqbal Town Cafe #47,Cafe,Allama Iqbal Town,Email,2026-07-31,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Allama Iqbal Town Cafe #47 in Allama Iqbal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Interested - call scheduled,True
48,Faisal Town Mobile Accessories Store #48,Mobile Accessories Store,Faisal Town,Instagram DM,2026-07-29,"Hi Store Manager, my name is Bilal and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Faisal Town Mobile Accessories Store #48 in Faisal Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Asked for more info,True
49,Cavalry Ground Tailoring Shop #49,Tailoring Shop,Cavalry Ground,Email,2026-07-27,"Hi Store Manager, my name is Areeba and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Cavalry Ground Tailoring Shop #49 in Cavalry Ground could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",No response yet,True
50,Bahria Town Bakery #50,Bakery,Bahria Town,LinkedIn DM,2026-07-29,"Hi Store Manager, my name is Hamza and I'm an intern with SafeX Solutions. I'm reaching out because I'm building a small forecasting/analytics dashboard project and thought a business like Bahria Town Bakery #50 in Bahria Town could be a good fit for a short, no-obligation intro call about using simple demand forecasting for staffing/inventory planning. Totally fine to say no thanks - just let me know either way!",Not interested - thanked us,True
